"Key","Id","Danish(da)","English(en)","Portuguese (Brazil)(pt-BR)"
"Confirm","216317959499776","Bekræft","Confirm","Confirmar"
"Exit","4909592576","Tilbage","Exit","Sair"
"Close","31434371072","Luk","Close","Fechar"
"Cancel","213437647056896","Annuller","Cancel","Cancelar"
"Yes","243249631621120","Ja","Yes","Sim"
"No","243252164980736","Nej","No","Não"
"Ok","244698642018304","OK","OK","OK"
"Back","348992863105024","Tilbage","Back","Voltar"
"Skip","656591944839168","Spring over","Skip","Pular"
"GoodJob","673604830392320","Godt klaret!","Good job!","Bom Trabalho!"
