Key,Id,Danish(da),English(en)
"AllCategory",64753922048,"Alle","All"
"TilesCategory",608054702080,"Fliser","Tiles"
"TilesCategorySearchKeywords",8292199985152,"Flise","Tile"
"ObjectsCategory",650119376896,"Objekter","Objects"
"ObjectsCategorySearchKeywords",8540053991424,"Objekt","Object"
"EnemiesCategory",671409664000,"Fjender","Enemies"
"EnemiesCategorySearchKeywords",8576242446336,"Fjende","Enemy"
"BackgroundCategory",697322074112,"Baggrund","Background"
"BackgroundCategorySearchKeywords",8624611160064,"Baggrunde","Backgrounds"
"DecorationCategory",726623481856,"Dekoration","Decoration"
"DecorationCategorySearchKeywords",8664746455040,"Dekorationer
Løv","Decorations
Foliage"
