Key,Id,Danish(da),English(en)
"BreakableRock",5396131840,"Brydbar Sten","Breakable Rock"
"Checkpoint",102687207424,"Checkpoint","Checkpoint"
"FairyBottle",136795287552,"Feflaske","Fairy Bottle"
"Gem",167304654848,"Ædelsten","Gem"
"GoalBalloon",178637664256,"Målballon","Goal Balloon"
"PowerFruit",193087041536,"Kraftfrugt","Power Fruit"
"SpawnPoint",208303976448,"Genoplivelsespunkt","Spawn Point"
"TallGrass",580695257088,"Højt Græs","Tall Grass"
"ShortGrass",598323916800,"Kort Græs","Short Grass"
"YellowFlower",723117043712,"Gul Blomst","Yellow Flower"
"OrangeFlower",745715953664,"Orange Blomst","Orange Flower"
"RedFlower",759234195456,"Rød Blomst","Red Flower"
"BlueFlower",786895630336,"Blå Blomst","Blue Flower"
"GreenFlower",804897583104,"Grøn Blomst","Green Flower"
"Leafly",1007230808064,"Leafly","Leafly"
"Seedle",1008396824576,"Seedle","Seedle"
"SeedleSpawner",1009051136000,"Seedlebusk","Seedle Bush"
"Spewshroom",1010099712000,"Spewshroom","Spewshroom"
