"Key","Id","Danish(da)","English(en)","Portuguese (Brazil)(pt-BR)"
"Town","341087252480","Cornucopia Town","Cornucopia Town","Cidade de Cornucopia"
"1-1","5534543872","Ind i {0}","Into {0}","Dentro de {0}"
"1-2","13797322752","Skaler Tornekrat Trævej","Scaling Bramble Treeway","Escalada da Árvore Espinhosa"
"1-3","21368041472","Blæsenede Trætoppe","Gusty Treetops","Topo Tempestuoso"
"1-4","36224266240","Madelines Dødtræsdyk","Madeline's Deadwood Delve","O Covil Madeira Morta de Madeline"
"1-S","82583908352","Træets Tre Prøver","Through the Challenge Tree","Pelo Caminho da Árvore dos Desafios"
"1-C","94663503872","Udfordring: {0}","Challenge: {0}","Desafio: {0}"
"2-1","112128585728","Krystalkysten","Clearing Crystal Coast","Costa dos Cristais Claros"
"2-2","135394390016","Advarsel! Stor Fluppy!","Danger! Grand Fluppy!","Perigo! Grande Fluppy!"
"2-3","148203794432","Marine Grotter","Marine Grottos","Grutas Marinhas"
"2-Bonus","159306117120","Undersøisk Tumult","Subsea Skirmish","Conflito Submarino"
"2-4","191224770560","Violastros Dybhavshule","Violastro's Deepwater Dungeon","A Masmorra em Águas Profundas de Violastro"
"2-C","226511450112","Udfordring: {0}","Challenge: {0}","Desafio: {0}"
"3-1","255108214784","Ind i Månebasen","Into the Moonbase","Dentro da Base Lunar"
"3-2","267909230592","Dirigentens Mægtige Konvoj","Conductor's Mighty Convoy","O Comboio Poderoso do Condutor"
"3-3","276402696192","Månebase Metro","Moonbase Metro","Metrô da Base Lunar"
"3-4","289509896192","Astralfabrikken","The Astral Factory","A Fábrica Astral"
"3-C","5493059276140544","Udfordring: {0}","Challenge: {0}","Desafio: {0}"
