"Key","Id","Danish(da)","English(en)","Portuguese (Brazil)(pt-BR)"
"PressAnyButton","14816538624","- Tryk på en vilkårlig tast -","- Press any button -","- Pressione qualquer tecla -"
"EmptySaveFile","472389939200","Tom","Empty","Vazio"
"SaveFileTitle","551238660096","Fil {0} - {1}%","File {0} - {1}%","Arquivo {0} - {1}%"
"DeletePrompt","2628513853440","Er du sikker på, at du vil slette denne gemte?
Den vil forsvinde for evigt!","Are you sure you want to delete this save file?
It will be gone forever!","Tem certeza que deseja deletar seu progresso neste arquivo?
Irá desaparecer para sempre!"
"InsufficientPermissions","2849096495104","Utilstrækkelige brugertilladelser.
Kunne ikke slette filen.","Insufficient user permissions.
Could not erase file.","Permissões de usuário insuficientes.
Arquivo não foi apagado."
"EraseFile","4340830072832","Slet Gemte","Erase File","Apagar Arquivo"
"Credits1","5361291653120","LEDENDE UDVIKLER
<color=#436187>Patrick Frostholm Østergaard</color>

BANEDESIGN
<color=#436187>Erion Marku</color>
<color=#436187>Nicholas White</color>

QA TESTING
<color=#436187>Antonio Villarreal</color>","LEAD DEVELOPER
<color=#436187>Patrick Frostholm Østergaard</color>

LEVEL DESIGN
<color=#436187>Erion Marku</color>
<color=#436187>Nicholas White</color>

QA TESTING
<color=#436187>Antonio Villarreal</color>","DESENVOLVEDOR CHEFE
<color=#436187>Patrick Frostholm Østergaard</color>

PLANEJADORES DE NÍVEIS
<color=#436187>Erion Marku</color>
<color=#436187>Nicholas White</color>

TESTADOR DE CONTROLE DE QUALIDADE
<color=#436187>Antonio Villarreal</color>"
"Credits2","5378781900800","TEGNINGER & GRAFIK
<color=#436187>Jur Loogman</color>

MUSIK AF
<color=#436187>Christoph Jakob</color>

YDELIGERE 
LYDEFFETKER FRA
<color=#436187>zapsplat.com</color>","ART & GRAPHICS
<color=#436187>Jur Loogman</color>

MUSIC BY
<color=#436187>Christoph Jakob</color>

ADDITIONAL SOUND
EFFECTS PROVIDED BY
<color=#436187>zapsplat.com</color>","ARTE E GRÁFICOS
<color=#436187>Jur Loogman</color>

MÚSICA POR
<color=#436187>Christoph Jakob</color>

SONS ADICIONAIS
PROVIDO POR
<color=#436187>zapsplat.com</color>"
"EarlyAccess1","340457475436544","Tak for at du støtter vores ydmyge projekt <3
Vi er et lille team, så din støtte betyder meget!

Bemærk, at dette spil stadig er under udvikling.
Alt kan ændres.

<color=#F83939>NULSTILLING AF GEMTER KAN FOREKOMME!</color>
Vi beklager ulejligheden.

Hvis du finder fejl eller ønsker at tale med os,
kan du tilmelde dig vores Discord-server ved at klikke på linket nedenfor:","Thank you for supporting our humble project <3
We're a small team, so your support means a lot!

Note that this game is still a work in progress.
Everything is subject to change.

<color=#F83939>SAVE FILE RESETS MAY OCCUR!</color>
We apologize for any inconveniences.

If you find any bugs or want to talk to us,
join our Discord server by clicking the link below:","Obrigado por suportar o nosso humilde projeto <3
Nós somos um time pequeno, então seu suporte significa muito!

Perceba que este jogo ainda está em desenvolvimento.
Tudo está sujeito a mudanças.

<color=#F83939>REDEFINIÇÃO DE ARQUIVOS SALVOS PODEM OCORRER!</color>
Pedimos desculpas por quaisquer inconveniências.

Se você encontrar qualquer falha ou deseja conversar com a gente,
entre no servidor do Discord pelo link abaixo:"
"EarlyAccess2","340514991927296","Tryk på en vilkårlig tast for at fortsætte.","Press any button to continue.","Pressione qualquer tecla para continuar."
