"Key","Id","Danish(da)","English(en)","Portuguese (Brazil)(pt-BR)"
"Pause","11242991616","Pause","Pause","Pausar"
"LevelSelect","26455732224","Vælg Bane","Level Select","Selecionar Nível"
"OpenShop","1073845979213824","Opgraderinger","Upgrades","Aprimoramentos"
"LevelSelectGamepad","318524587405312","{0} Pause","{0} Pause","{0} Pausar"
"PauseGamepad","318520812531712","{0} Vælg Bane","{0} Level Select","{0} Selecionar Nível"
"OpenShopGamepad","1073940720152576","{0} Opgraderinger","{0} Upgrades","{0} Aprimoramentos"
"EnterLevelPromptKeyboard","209075728384","{0}: Spil","{0}: Enter","{0}: Entrar"
"EnterLevelPromptGamepad","321789383307264","{0} Spil","{0} Enter","{0} Entrar"
"MissingCoins","13654504402944","{0} Challenge Coins fuldført i Verden {1}","{0} Challenge Coins completed in World {1}","{0} Challenge Coins completas no Mundo {1}"
"ReturnToWorld2","390308900794368","Tilbage til Verden 2","Return to World 2","Retornar ao Mundo 2"
